Customer_ID,Customer_Name,Email,Product,Quantity,Price_Per_Item,Total_Price,Purchase_Date,Season
1,Michelle Harris,zbarrett@jordan-thomas.com,Sneakers,5,3148,15740,2024-04-23,Spring
2,Leah Lee,rroberson@morales.org,Loafers,3,2049,6147,2024-11-04,Autumn
3,Sheri Espinoza,maria11@yahoo.com,Sandals,2,2649,5298,2024-06-17,Summer
4,Crystal Smith,fosterbrandon@perry.net,Blazer,1,4223,4223,2023-11-03,Autumn
5,Alexander Gomez,owade@gmail.com,Light Jacket,2,2040,4080,2024-05-02,Spring
6,James Baker,jamesfranklin@gmail.com,Tank Top,3,4607,13821,2023-06-03,Summer
7,Joshua Davidson,crystal00@brooks.net,Jacket,2,1058,2116,2023-12-04,Winter
8,Erica Harper,foleyaaron@powell.info,Boots,4,4761,19044,2023-01-24,Winter
9,Kimberly Lucas,mason15@evans-stark.net,Loafers,4,4627,18508,2023-09-09,Autumn
10,Ryan Rodriguez,vcollins@gmail.com,Raincoat,1,2639,2639,2024-07-20,Monsoon
11,Susan Walker,robertwoods@miller.info,Raincoat,3,4460,13380,2023-08-09,Monsoon
12,Sara Brown,mosskevin@trevino-harris.net,Light Jacket,4,3266,13064,2023-04-02,Spring
13,Shannon Cook,carol58@ponce.com,Full-Sleeve Shirt,3,4753,14259,2024-11-01,Autumn
14,Michael Cohen,villanuevajennifer@hardy-bowen.com,Jacket,1,632,632,2024-02-07,Winter
15,Thomas Acevedo,lawrencewall@hotmail.com,Shorts,3,1811,5433,2024-06-15,Summer
16,Joseph Taylor,qsandoval@ward.net,Raincoat,1,3736,3736,2023-08-17,Monsoon
17,Mark Garrett,megan11@yahoo.com,Jeans,4,4107,16428,2024-04-07,Spring
18,John Rivera,logan66@king.com,Boots,1,1740,1740,2024-02-20,Winter
19,Micheal Clark,brittanysmith@sims-wilson.net,Full-Sleeve Shirt,2,1262,2524,2024-10-07,Autumn
20,Deanna Fisher,fbutler@hotmail.com,Sunglasses,5,2730,13650,2024-07-28,Summer
21,Alec Higgins,lgray@owens-newman.com,T-Shirt,4,4328,17312,2025-05-08,Spring
22,Susan Rowland,anthonysmith@adams.com,Light Jacket,4,4482,17928,2023-05-22,Spring
23,Brian Santiago,jgarcia@yahoo.com,Cardigan,2,2010,4020,2024-11-14,Autumn
24,Amanda Baker,ronniefisher@yahoo.com,Shorts,1,3828,3828,2024-08-28,Summer
25,Mark Davis,villegasjoseph@martin-walker.org,Full-Sleeve Shirt,3,4202,12606,2025-09-03,Autumn
26,William Sanders,wcox@yahoo.com,Boots,3,703,2109,2024-01-17,Winter
27,Melanie Nelson,patrickwest@spencer-johnson.info,Sandals,4,1223,4892,2023-08-13,Summer
28,Adriana Lucas,gene83@schultz.com,Waterproof Shoes,4,2765,11060,2023-08-03,Monsoon
29,Emily Russell,masonowen@yahoo.com,Sandals,2,1545,3090,2024-07-16,Summer
30,Karen Hansen,dcarrillo@hotmail.com,Umbrella,1,3165,3165,2024-08-24,Monsoon
31,Margaret Hall,cunninghamkim@gmail.com,T-Shirt,4,3940,15760,2023-03-19,Spring
32,Justin Macias,usmith@watson.info,Jeans,5,4921,24605,2023-03-03,Spring
33,Vincent Solis,laurie13@yahoo.com,Boots,1,2334,2334,2024-01-22,Winter
34,Tina Carter,trevorbarron@scott.org,Sneakers,5,2516,12580,2024-05-22,Spring
35,Olivia Parrish,ystein@park-lawrence.org,Raincoat,4,600,2400,2023-09-16,Monsoon
36,Brittney Cox,egraham@young.com,Raincoat,3,1475,4425,2024-07-28,Monsoon
37,Shaun Caldwell,tonya01@hotmail.com,Loafers,4,4491,17964,2024-11-07,Autumn
38,Edward Brown,michaelmartin@gonzalez.net,Scarf,2,2279,4558,2024-02-12,Winter
39,Lisa Sweeney,austin64@williams-ruiz.info,Scarf,1,2108,2108,2023-12-08,Winter
40,Joseph Rodriguez,andreahill@hartman-bowman.info,Loafers,1,1283,1283,2024-11-28,Autumn
41,Sabrina Martinez,kimberly57@gmail.com,Sneakers,4,4184,16736,2024-05-01,Spring
42,Gerald Phillips,wford@stevens.com,Tank Top,1,1119,1119,2024-08-16,Summer
43,Daniel Holmes,robert28@martinez-dominguez.com,Shorts,3,568,1704,2024-06-16,Summer
44,Lynn Olsen,laceylane@jones.org,Sweater,3,652,1956,2023-02-26,Winter
45,Denise Rodriguez,rachel14@gmail.com,Light Jacket,3,903,2709,2025-05-06,Spring
46,Amanda Kim,victorlawson@carpenter-martinez.com,Tank Top,2,1600,3200,2024-07-06,Summer
47,Chris Roach,matthew72@turner.biz,Full-Sleeve Shirt,4,594,2376,2024-09-25,Autumn
48,Holly Davenport,rachel68@johnson.com,Tank Top,4,4917,19668,2023-07-17,Summer
