Customer_ID,Customer_Name,Email,Product,Quantity,Price_Per_Item,Total_Price,Purchase_Date,Season,Season_Number,Recency,Avg_Order_Value,Cluster_Label,Segment,Suggested_Campaign
1,Michelle Harris,zbarrett@jordan-thomas.com,Sneakers,5,3148,15740,2024-04-23,Spring,2,348,3148.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
2,Leah Lee,rroberson@morales.org,Loafers,3,2049,6147,2024-11-04,Autumn,3,153,2049.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
3,Sheri Espinoza,maria11@yahoo.com,Sandals,2,2649,5298,2024-06-17,Summer,0,293,2649.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
4,Crystal Smith,fosterbrandon@perry.net,Blazer,1,4223,4223,2023-11-03,Autumn,3,520,4223.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
5,Alexander Gomez,owade@gmail.com,Light Jacket,2,2040,4080,2024-05-02,Spring,2,339,2040.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
6,James Baker,jamesfranklin@gmail.com,Tank Top,3,4607,13821,2023-06-03,Summer,0,673,4607.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
7,Joshua Davidson,crystal00@brooks.net,Jacket,2,1058,2116,2023-12-04,Winter,1,489,1058.0,2,Lost Customers,Re-engagement Emails & Offers
8,Erica Harper,foleyaaron@powell.info,Boots,4,4761,19044,2023-01-24,Winter,1,803,4761.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
9,Kimberly Lucas,mason15@evans-stark.net,Loafers,4,4627,18508,2023-09-09,Autumn,3,575,4627.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
10,Ryan Rodriguez,vcollins@gmail.com,Raincoat,1,2639,2639,2024-07-20,Monsoon,4,260,2639.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
11,Susan Walker,robertwoods@miller.info,Raincoat,3,4460,13380,2023-08-09,Monsoon,4,606,4460.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
12,Sara Brown,mosskevin@trevino-harris.net,Light Jacket,4,3266,13064,2023-04-02,Spring,2,735,3266.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
13,Shannon Cook,carol58@ponce.com,Full-Sleeve Shirt,3,4753,14259,2024-11-01,Autumn,3,156,4753.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
14,Michael Cohen,villanuevajennifer@hardy-bowen.com,Jacket,1,632,632,2024-02-07,Winter,1,424,632.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
15,Thomas Acevedo,lawrencewall@hotmail.com,Shorts,3,1811,5433,2024-06-15,Summer,0,295,1811.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
16,Joseph Taylor,qsandoval@ward.net,Raincoat,1,3736,3736,2023-08-17,Monsoon,4,598,3736.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
17,Mark Garrett,megan11@yahoo.com,Jeans,4,4107,16428,2024-04-07,Spring,2,364,4107.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
18,John Rivera,logan66@king.com,Boots,1,1740,1740,2024-02-20,Winter,1,411,1740.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
19,Micheal Clark,brittanysmith@sims-wilson.net,Full-Sleeve Shirt,2,1262,2524,2024-10-07,Autumn,3,181,1262.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
20,Deanna Fisher,fbutler@hotmail.com,Sunglasses,5,2730,13650,2024-07-28,Summer,0,252,2730.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
21,Alec Higgins,lgray@owens-newman.com,T-Shirt,4,4328,17312,2025-05-08,Spring,2,-32,4328.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
22,Susan Rowland,anthonysmith@adams.com,Light Jacket,4,4482,17928,2023-05-22,Spring,2,685,4482.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
23,Brian Santiago,jgarcia@yahoo.com,Cardigan,2,2010,4020,2024-11-14,Autumn,3,143,2010.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
24,Amanda Baker,ronniefisher@yahoo.com,Shorts,1,3828,3828,2024-08-28,Summer,0,221,3828.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
25,Mark Davis,villegasjoseph@martin-walker.org,Full-Sleeve Shirt,3,4202,12606,2025-09-03,Autumn,3,-150,4202.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
